Table: HNA
Destination	Gateway
10.36.244.0/24	10.36.243.161
10.36.243.128/28	10.36.243.161
10.36.243.160/30	10.36.243.161
10.36.243.164/30	10.36.243.161
10.36.243.168/30	10.36.243.161
10.36.243.172/30	10.36.243.161
10.36.243.176/30	10.36.243.161
10.36.243.180/30	10.36.243.161
10.36.243.184/30	10.36.243.161
10.31.104.192/28	10.31.38.170
10.31.104.208/30	10.31.38.170
10.31.113.128/25	10.31.114.0
10.31.112.112/28	10.31.114.0
10.36.78.128/27	10.31.28.151
10.230.157.128/25	10.31.98.188
10.31.98.224/27	10.31.98.188
10.36.241.96/27	10.31.43.224
10.36.163.0/27	10.31.35.169
10.36.247.128/27	10.31.44.114
10.230.33.244/30	10.31.44.114
10.31.119.128/27	10.31.109.64
10.31.122.0/24	10.31.109.64
10.230.253.128/26	10.230.242.138
10.230.168.192/28	10.31.23.37
10.36.70.128/28	10.36.70.64
10.31.2.0/24	10.31.7.1
10.36.2.0/24	10.31.7.1
10.36.7.0/24	10.31.7.1
10.31.7.0/24	10.31.7.1
10.230.104.0/28	10.31.14.148
10.230.247.176/28	10.31.24.187
10.36.108.96/28	10.31.30.120
10.36.92.0/24	10.36.70.95
10.36.70.0/27	10.36.70.95
10.36.70.32/30	10.36.70.95
10.36.70.36/30	10.36.70.95
10.36.70.40/30	10.36.70.95
10.36.70.44/30	10.36.70.95
10.36.70.48/30	10.36.70.95
10.36.70.52/30	10.36.70.95
10.36.70.56/30	10.36.70.95
10.36.179.224/28	10.31.48.217
10.230.18.64/27	10.230.18.187
10.36.75.16/28	10.31.28.141
10.31.107.224/28	10.31.52.241
10.230.20.64/26	10.230.20.17
10.230.192.192/26	10.230.192.225
10.230.192.224/30	10.230.192.225
10.230.192.228/30	10.230.192.225
10.230.192.232/30	10.230.192.225
10.230.192.236/30	10.230.192.225
10.230.192.240/30	10.230.192.225
10.230.192.244/30	10.230.192.225
10.230.192.248/30	10.230.192.225
10.230.244.64/28	10.31.30.160
10.36.1.0/25	10.31.27.1
10.31.27.32/27	10.31.27.1
192.168.179.0/24	10.31.27.1
10.230.184.0/25	10.36.44.211
10.36.240.176/28	10.31.43.200
10.230.0.192/27	10.31.0.104
10.31.63.0/24	10.31.54.213
10.31.54.212/30	10.31.54.213
10.230.162.144/28	10.31.19.208
10.36.163.176/28	10.36.197.177
10.31.81.96/28	10.31.79.122
10.31.70.144/28	10.31.66.123
10.36.150.192/27	10.31.48.184
10.31.96.128/27	10.36.197.106
10.230.117.192/28	10.230.54.9
10.230.54.8/30	10.230.54.9
10.36.247.160/27	10.31.44.119
10.36.199.192/28	10.31.48.247
10.230.155.96/27	10.31.20.194
10.36.121.208/28	10.31.30.189
10.31.96.220/30	10.31.30.189
10.230.166.144/28	10.31.22.248
10.36.5.224/28	10.31.52.52
10.230.166.144/28	10.31.23.18
10.230.229.0/24	10.230.226.225
10.230.226.224/27	10.230.226.225
10.36.202.208/28	10.31.39.45
10.31.68.0/23	10.31.80.167
10.36.77.224/27	10.31.28.149
10.31.119.240/28	10.31.109.76
10.230.124.160/27	10.31.15.203
10.230.33.240/30	10.31.15.203
10.230.172.208/28	10.31.23.40
10.230.8.128/25	10.230.8.35
10.230.8.48/30	10.230.8.35
10.230.20.192/26	10.230.20.19
10.31.102.128/25	10.31.18.130
10.31.123.0/25	10.31.18.130
10.31.102.0/27	10.31.18.130
10.31.113.32/27	10.36.197.161
10.36.237.224/27	10.31.48.214
10.31.115.0/27	10.31.115.32
10.31.115.128/25	10.31.115.32
10.31.112.192/26	10.31.77.200
10.31.77.196/30	10.31.77.200
10.230.108.96/28	10.31.14.154
10.36.117.0/25	10.230.87.49
10.230.87.48/30	10.230.87.49
10.31.6.0/24	10.31.6.17
10.31.66.0/24	10.31.6.17

